cohortId,atlasId,atlasName,name,description,cite,isNew,hyperlink
1,538,3-point MACE,outcome/3pt_MACE,"Condition record of acute myocardial infarction, hemorrhagic or ischemic stroke or sudden cardiac death during an inpatient or ER visit",[@Ammann2018-kh;@Floyd2016-ch;@Rubbo2015-rh;@Singh2018-jg;@Wahl2010-ii;@Normand1995-ag;@Andrade2012-sp;@Park2016-wa;@Gon2017-rp;@Sung2016-xi;@Tu2013-qv;@Yuan2017-wm;@Hennessy2010-gn],no,"{[}\protect\hyperlink{ref-Ammann2018-kh}{49}--\protect\hyperlink{ref-Hennessy2010-gn}{61}{]}"
2,539,4-point MACE,outcome/4pt_MACE,3-Point MACE $+$ inpatient or ER visit (hospitalization) with heart failure condition record,[@Ryan2018-ci;@Ammann2018-kh;@Floyd2016-ch;@Rubbo2015-rh;@Singh2018-jg;@Wahl2010-ii;@Normand1995-ag;@Andrade2012-sp;@Park2016-wa;@Gon2017-rp;@Sung2016-xi;@Tu2013-qv;@Yuan2017-wm;@Hennessy2010-gn;@Kaspar2018-ol;@Feder2018-nj;@Rosenman2014-vv;@Voors2017-rd;@Floyd2016-fi;@Gini2016-gf],no,"{[}\protect\hyperlink{ref-Ryan2018-ci}{44},\protect\hyperlink{ref-Ammann2018-kh}{49}--\protect\hyperlink{ref-Gini2016-gf}{67}{]}"
23,548,Acute pancreatitis,outcome/Acute_pancreatitis,Condition record of acute pancreatitis during an inpatient or ER visit,[@Yabe2015-da;@Dore2013-km;@Dore2011-gx;@Chen2017-bb],no,"{[}\protect\hyperlink{ref-Yabe2015-da}{79}--\protect\hyperlink{ref-Chen2017-bb}{82}{]}"
24,549,All-cause mortality,outcome/All-cause_mortality,Death record of any type,[@Singh2018-jg;@Ooba2013;@Robinson2015],no,"{[}\protect\hyperlink{ref-Singh2018-jg}{52},\protect\hyperlink{ref-Ooba2013}{83},\protect\hyperlink{ref-Robinson2015}{84}{]}"
29,550,Diarrhea,outcome/Diarrhea,Diarrhea condition record of any type; successive records with > 30 day gap are considered independent episodes,[@Buono2017-rg;@Krishnarajah2016-af;@Panozzo2014-tt],no,"{[}\protect\hyperlink{ref-Buono2017-rg}{86}--\protect\hyperlink{ref-Panozzo2014-tt}{88}{]}"
32,564,Hypoglycemia,outcome/Hypoglycemia,Hypoglycemia condition record of any type; successive records with > 90 day gap are considered independent episodes,[@leonard2018comparative],yes,"{[}\protect\hyperlink{ref-leonard2018comparative}{93}{]}"
35,570,Lower extremity amputation,outcome/LE_amputation,Procedure record of below knee lower extremity amputation during inpatient or outpatient visit,[@Ryan2018-ci;@Yuan2018-am],no,"{[}\protect\hyperlink{ref-Ryan2018-ci}{44},\protect\hyperlink{ref-Yuan2018-am}{48}{]}"
36,554,Nausea,outcome/Nausea,Nausea condition record of any type; successive records with > 30 day gap are considered independent episodes,[@Goldstein2003-mx;@Donga2017-vh;@Marrett2016-rr],no,"{[}\protect\hyperlink{ref-Goldstein2003-mx}{95}--\protect\hyperlink{ref-Marrett2016-rr}{97}{]}"
40,573,Thyroid tumor,outcome/Thyroid_tumor,Neoplasm of thyroid gland condition record of any type; limited to earliest event per person,,yes,
42,556,Vomiting,outcome/Vomiting,Vomiting condition record of any type; successive records with > 30 day gap are considered independent episodes,[@Goldstein2003-mx;@Donga2017-vh;@Marrett2016-rr],no,"{[}\protect\hyperlink{ref-Goldstein2003-mx}{95}--\protect\hyperlink{ref-Marrett2016-rr}{97}{]}"
